CÓDIGO;UOS;FAIXA ÁREA(m²);CFA B;CFA M;TX OCUP(%);TX PERM(%);ALT MAX;AFR;AFU;AF LAT;AF OBS;MARQUISE;GALERIA;COTA SOLEIRA;SUBSOLO;CÓDIGO;UOS;FAIXA ÁREA(m²)
3001;RO 1;0;200;0<a≤200;2,00;2,00;100;2;-;10,50;-;-;-;-;proibida;proibida;ponto médio da testada frontal;permitido-tipo 1
3002;RO 1 (1);200;1000;200<a≤1000;2,00;2,00;70;2;20;10,50;2,00;-;1,00;-;proibida;proibida;ponto médio da testada frontal;permitido-tipo 1
3003;RO 1 (1);1000;2900;1000<a≤2900;2,00;2,00;70;2;20;10,50;2,00;-;1,50;-;proibida;proibida;ponto médio da testada frontal;permitido-tipo 1
3004;RO 3;200;1000;200<a≤1000;2,00;2,00;70;2;20;10,50;2,00;2,00;1,00;-;proibida;proibida;ponto médio da testada frontal;permitido-tipo 1
3005;RO 3;1000;2900;1000<a≤2900;2,00;2,00;70;2;20;10,50;2,00;5,00;1,50;-;proibida;proibida;ponto médio da testada frontal;permitido-tipo 1
3006;CSIIR 1 NO;0;200;0<a≤200;1,00;2,00;100;3;-;12,00;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 1
3007;CSIIR 1 NO (1);200;7000;200<a≤7000;1,00;2,00;70;3;20;12,00;2,00;2,00;1,50;-;-;-;ponto médio da testada frontal;permitido-tipo 1
3008;CSIIR 1 NO - Tipo A (2);400;8500;400<a≤8500;1,00;4,00;80;5;20;19,00;2,00;2,00;1,50;-;-;-;ponto médio da testada frontal;permitido-tipo 1
3009;CSIIR 2 NO;300;2500;300<a≤2500;1,00;2,00;70;3;20;12,00;2,00;2,00;1,50;-;-;-;ponto médio da testada frontal;permitido-tipo 1
3010;CSIIR 2 NO - Tipo A (3);3000;5000;3000<a≤5000;1,00;4,00;80;5;20;19,00;2,00;2,00;1,50;-;-;-;ponto médio da testada frontal;permitido-tipo 1
3011;Inst;2000;32000;2000<a≤30000;1,00;2,00;70;3;20;12,00;5,00;5,00;5,00;-;-;-;ponto médio da edificação;permitido-tipo 2
3012;PAC 1(6);0;1000;a<1000;0,25;0,50;25;2;-;8,50;-;-;-;-;proibida;-;ponto médio da edificação;permitido-tipo 1
3013;PAC 2(5);1000;3200;1000<a≤3200;0,50;0,50;50;2;-;8,50;-;-;-;-;proibida;-;ponto médio da edificação;permitido-tipo 1
